Date,City,Temperature (C),Weather
2023-07-01,London,18.0,Cloudy
2023-07-02,London,21.0,Clear
2023-07-03,London,23.0,Clear
2023-07-04,London,22.0,Clear
2023-07-05,London,19.0,Cloudy
2023-07-06,London,20.0,Cloudy
2023-07-07,London,24.0,Clear
2023-07-08,London,25.0,Clear
2023-07-09,London,23.0,Cloudy
2023-07-10,London,22.0,Cloudy
2023-07-11,London,21.0,Cloudy
2023-07-12,London,20.0,Clear
2023-07-13,London,19.0,Clear
2023-07-14,London,18.0,Cloudy
2023-07-15,London,17.0,Cloudy
2023-07-16,London,16.0,Cloudy
2023-07-17,London,15.0,Clear
2023-07-18,London,14.0,Clear
2023-07-19,London,13.0,Cloudy
2023-07-20,London,12.0,Cloudy
2023-07-21,London,11.0,Cloudy
2023-07-22,London,10.0,Clear
2023-07-23,London,9.0,Clear
2023-07-24,London,8.0,Cloudy
2023-07-25,London,7.0,Cloudy
2023-07-26,London,6.0,Cloudy
2023-07-27,London,20.0,Clear
2023-07-28,London,22.0,Clear
2023-07-29,London,23.0,Clear
2023-07-30,London,24.0,Clear
2023-07-31,London,25.0,Clear
